Parameter,Random Forest,Results,Difference,Percentage,, ,,,,
Normal,Both Match,23.3,0.0,0.0, ,, ,,,
Normal,PU Match,52.4,0.0,0.0,,, ,,, 
Normal,DO Match ,39.0,0.0,0.0,,,,,,
Max Depth - 10,Both Match,32.6,9.3,39.9,,,,,,
Max Depth - 10,PU Match,57.2,4.8,9.3,,,,,,
Max Depth - 10,DO Match ,48.8,9.8,25.0,,,,,,
Max Depth - 20,Both Match,28.1,4.8,20.7,,,,,,
Max Depth - 20,PU Match,56.8,4.4,8.4,,,,,,
Max Depth - 20,DO Match,43.9,4.9,12.5,,,,,,
Max Depth - 30,Both Match,25.5,2.2,9.6,,,,,,
Max Depth - 30,PU Match,55.0,2.7,5.1,,,,,,
Max Depth - 30,DO Match,41.2,2.1,5.5,,,,,,
N Estimator - 10,Both Match,15.8,-7.5,-32.0, ,,,,,
N Estimator - 10,PU Match,41.3,-11.0,-21.1,,,,,,
N Estimator - 10,DO Match ,33.5,-5.5,-14.0,,,,,,
N Estimator - 50,Both Match,22.0,-1.3,-5.8,,,,,,
N Estimator - 50,PU Match,50.6,-1.7,-3.3,,,,,,
N Estimator - 50,DO Match ,38.1,-0.9,-2.4,,,,,,
N Estimator - 100,Both Match,23.3,0.0,0.0,,,,,,
N Estimator - 100,PU Match,52.4,0.0,0.0,,,,,,
N Estimator - 100,DO Match ,39.0,0.0,0.0,,,,,,
Min Impurity Split - 2,Both Match,23.3,0.0,0.0,,,,,,
Min Impurity Split - 2,PU Match,52.4,0.0,0.0,,,,,,
Min Impurity Split - 2,DO Match ,39.0,0.0,0.0,,,,,,
Min Impurity Split - 5,Both Match,24.7,1.4,6.1,,,,,,
Min Impurity Split - 5,PU Match,54.3,1.9,3.6,,,,,,
Min Impurity Split - 5,DO Match ,40.4,1.4,3.5,,,,,,
Min Impurity Split - 10,Both Match,25.8,2.5,10.5,,,,,,
Min Impurity Split - 10,PU Match,55.1,2.7,5.2,,,,,,
Min Impurity Split - 10,DO Match ,41.6,2.6,6.6,,,,,,
Min Samples Split - 1,Both Match,23.3,0.0,0.0,,,,,,
Min Samples Split - 1,PU Match,52.4,0.0,0.0,,,,,,
Min Samples Split - 1,DO Match ,39.0,0.0,0.0,,,,,,
Min Samples Split - 3,Both Match,26.0,2.6,11.4,,,,,,
Min Samples Split - 3,PU Match,55.2,2.8,5.3,,,,,,
Min Samples Split - 3,DO Match ,41.3,2.3,5.8,,,,,,
Min Samples Split - 5,Both Match,27.4,4.1,17.5,,,,,,
Min Samples Split - 5,PU Match,56.4,4.0,7.7,,,,,,
Min Samples Split - 5,DO Match ,43.0,4.0,10.3,,,,,,
Max Leaf Nodes - 10,Both Match,32.9,9.5,40.9,,,,,,
Max Leaf Nodes - 10,PU Match,57.8,5.4,10.3,,,,,,
Max Leaf Nodes - 10,DO Match ,48.3,9.2,23.7,,,,,,
Max Leaf Nodes - 100,Both Match,32.4,9.1,39.0,,,,,,
Max Leaf Nodes - 100,PU Match,57.1,4.7,9.0,,,,,,
Max Leaf Nodes - 100,DO Match ,48.4,9.4,24.0,,,,,,
Max Leaf Nodes - 1000,Both Match,30.2,6.8,29.3,,,,,,
Max Leaf Nodes - 1000,PU Match,57.2,4.8,9.2,,,,,,
Max Leaf Nodes - 1000,DO Match ,46.3,7.3,18.7,,,,,,
Min Impurity Decrease - 0.1,Both Match,38.1,14.7,63.2,,,,,,
Min Impurity Decrease - 0.1,PU Match,59.5,7.2,13.7,,,,,,
Min Impurity Decrease - 0.1,DO Match ,52.8,13.8,35.2,,,,,,
Min Impurity Decrease - 0.3,Both Match,38.1,14.7,63.2,,,,,,
Min Impurity Decrease - 0.3,PU Match,59.5,7.2,13.7,,,,,,
Min Impurity Decrease - 0.3,DO Match ,52.8,13.8,35.2,,,,,,
Min Impurity Decrease - 0.5,Both Match,38.1,14.7,63.2,,,,,,
Min Impurity Decrease - 0.5,PU Match,59.5,7.2,13.7,,,,,,
Min Impurity Decrease - 0.5,DO Match ,52.8,13.8,35.2,,,,,,
Criterion - Gini,Both Match,23.3,0.0,0.0,,,,,,
Criterion - Gini,PU Match,52.4,0.0,0.0,,,,,,
Criterion - Gini,DO Match ,39.0,0.0,0.0,,,,,,
Criterion - Entropy,Both Match,23.2,-0.2,-0.7,,,,,,
Criterion - Entropy,PU Match,52.6,0.2,0.4,,,,,,
Criterion - Entropy,DO Match,38.9,-0.1,-0.3,,,,,,
Class Weight - Balanced,Both Match,23.4,0.1,0.5,,,,,,
Class Weight - Balanced,PU Match,53.6,1.2,2.3,,,,,,
Class Weight - Balanced,DO Match ,38.5,-0.6,-1.4,,,,,,
Max Features - SQRT,Both Match,23.3,0.0,0.0,,,,,,
Max Features - SQRT,PU Match,52.4,0.0,0.0,,,,,,
Max Features - SQRT,DO Match ,39.0,0.0,0.0,,,,,,
Max Features - LOG,Both Match,22.9,-0.4,-1.6,,,,,,
Max Features - LOG,PU Match,51.9,-0.5,-0.9,,,,,,
Max Features - LOG,DO Match ,38.6,-0.4,-1.2,,,,,,
