Parameter ,Support Vector Machine,Results,Difference ,Percentage,,,
Normal,Both Match,32.837471,0,0,,,
Normal,PU Match,57.447919,0,0,,, 
Normal,DO Match ,49.230108,0,0,,,
C  - 0.1,Both Match,34.714994,1.877523,5.717623626,,,
C  - 0.1,PU Match,57.325105,-0.122814,-0.2137832007,, ,
C  - 0.1,DO Match ,51.354795,2.124687,4.315828436,,,
C - 1,Both Match,32.837471,0,0,,,
C - 1,PU Match,57.447919,0,0,,,
C - 1,DO Match,49.230108,0,0,,,
C - 10,Both Match,24.998849,-7.838622,-23.87096741,,,
C - 10,PU Match,54.360675,-3.087244,-5.373987524,,,
C - 10,DO Match,40.303044,-8.927064,-18.1333423,,,
Linear,Both Match,32.355425,-0.482046,-1.467975411,,,
Linear,PU Match,55.493637,-1.954282,-3.401832536,,,
Linear,DO Match ,48.264481,-0.965627,-1.961456189,,,
RBF,Both Match,32.837471,0,0,,,
RBF,PU Match,57.447919,0,0,,,
RBF,DO Match ,49.230108,0,0,,,
Sigmoid,Both Match,22.194077,-10.643394,-32.41234381,,,
Sigmoid,PU Match,47.300388,-10.147531,-17.66387917,,,
Sigmoid,DO Match ,37.443006,-11.787102,-23.94287252,,,
Degree - 1,Both Match,32.837471,0,0,,,
Degree - 1,PU Match,57.447919,0,0,,,
Degree - 1,DO Match ,49.230108,0,0,,,
Degree - 3,Both Match,32.837471,0,0,,,
Degree - 3,PU Match,57.447919,0,0,,,
Degree - 3,DO Match ,49.230108,0,0,,,
Degree - 5,Both Match,32.837471,0,0,,,
Degree - 5,PU Match,57.447919,0,0,,,
Degree - 5,DO Match ,49.230108,0,0,,,
Gamma - 0.1,Both Match,32.272525,-0.564946,-1.720430907,,,
Gamma - 0.1,PU Match,57.431032,-0.016887,-0.02939532066,,,
Gamma - 0.1,DO Match ,48.711218,-0.51889,-1.054009469,,,
Gamma - 0.4,Both Match,33.807704,0.970233,2.954652019,,,
Gamma - 0.4,PU Match,56.462334,-0.985585,-1.715614799,,,
Gamma - 0.4,DO Match ,50.705415,1.475307,2.996757594,,,
Gamma - 0.7,Both Match,35.610003,2.772532,8.443195884,,,
Gamma - 0.7,PU Match,58.306084,0.858165,1.493813901,,,
Gamma - 0.7,DO Match ,50.872749,1.642641,3.336659347,,,
Probability - TRUE,Both Match,32.837471,0,0,,,
Probability - TRUE,PU Match,57.447919,0,0,,,
Probability - TRUE,DO Match ,49.230108,0,0,,,
Class Weight - Balanced,Both Match,9.184974,-23.652497,-72.02898481,,,
Class Weight - Balanced,PU Match,23.876633,-33.571286,-58.43777561,,,
Class Weight - Balanced,DO Match ,28.63567,-20.594438,-41.83301406,,,
Shrinking - TRUE,Both Match,32.837471,0,0,,,
Shrinking - TRUE,PU Match,57.447919,0,0,,,
Shrinking - TRUE,DO Match ,49.230108,0,0,,,
